seed,variant,n_features,threshold,precision,recall,f1,ap,auc
53,base_plus_kmeans_only,33,0.734886409027474,0.6576576576576577,0.5387453874538746,0.592292089249493,0.6282083914578445,0.9143932371782503
54,base_only,31,0.5277622837068621,0.552013422818792,0.6070110701107011,0.5782073813708261,0.6089018676565967,0.9097851065374686
54,full_base_plus_ma2,36,0.5574643172263152,0.5746924428822495,0.6033210332103321,0.5886588658865887,0.6189026856760177,0.9119513106139747
54,ma2_only,5,0.570320071889505,0.33651551312649164,0.5202952029520295,0.40869565217391307,0.35045714517774107,0.8106520787774798
54,base_plus_pca_only,34,0.5262330820727598,0.5476575121163166,0.6254612546125461,0.5839793281653747,0.6162754887749786,0.9081922613234287
54,base_plus_kmeans_only,33,0.5508965917548073,0.5571895424836601,0.6291512915129152,0.5909878682842288,0.6191141084251676,0.9122878686684402
55,base_only,31,0.5490333856353149,0.551433389544688,0.6033210332103321,0.5762114537444933,0.6011199087434165,0.9060842762301049
55,full_base_plus_ma2,36,0.5168928876551887,0.5337620578778135,0.6125461254612546,0.570446735395189,0.5989363851872517,0.903637116498802
55,ma2_only,5,0.571843445645313,0.3574007220216607,0.5479704797047971,0.43262927895120173,0.35186346809333896,0.8229510025112661
55,base_plus_pca_only,34,0.5009467021882515,0.5324881141045958,0.6199261992619927,0.5728900255754475,0.5978364930967652,0.9053519599191737
55,base_plus_kmeans_only,33,0.5137734648632473,0.5199386503067485,0.6254612546125461,0.5678391959798995,0.5951638085712807,0.9040816086232126
56,base_only,31,0.690383906757216,0.6637554585152838,0.5608856088560885,0.608,0.6354327395662278,0.911920238684748
56,full_base_plus_ma2,36,0.590509221483452,0.6031746031746031,0.6309963099630996,0.6167718665464382,0.6545976633585182,0.9146447562685164
56,ma2_only,5,0.6718856489428853,0.40249609984399376,0.47601476014760147,0.4361792054099746,0.3795968320793774,0.832665559415743
56,base_plus_pca_only,34,0.662957316540454,0.6557377049180327,0.5904059040590406,0.6213592233009708,0.6440335048215485,0.9133632844926215
56,base_plus_kmeans_only,33,0.6363734952454508,0.6382978723404256,0.6088560885608856,0.623229461756374,0.6487172951423955,0.9153149287209944
