seed,variant,n_features,threshold,precision,recall,f1,ap,roc_auc,tp,fp,fn,tn
49,base_plus_kmeans2_onehot,34,0.6250457659548849,0.6023622047244095,0.5645756457564576,0.5828571428571429,0.5832472139686958,0.9027746251580581,306,202,236,5439
49,base_plus_kmeans5_numeric_current_style,33,0.6530284499800657,0.6113445378151261,0.5369003690036901,0.5717092337917485,0.5813202227975329,0.90089297453868,291,185,251,5456
49,base_plus_kmeans5_onehot,37,0.6550607596747313,0.6074380165289256,0.5424354243542435,0.5730994152046783,0.5894046911732952,0.9042271560811689,294,190,248,5451
49,base_plus_pca2,33,0.6851860898588132,0.6299559471365639,0.5276752767527675,0.5742971887550201,0.5877942665123604,0.9007569121959611,286,168,256,5473
49,base_plus_pca3_current_count,34,0.580704996081602,0.5693430656934306,0.5756457564575646,0.5724770642201835,0.5889924589736215,0.9052482777974384,312,236,230,5405
49,base_plus_pca5,36,0.5064868989013372,0.5282714054927302,0.6033210332103321,0.5633074935400517,0.5803811954688296,0.90071504685974,327,292,215,5349
49,base_plus_pca10,41,0.5557318005664641,0.5756457564575646,0.5756457564575646,0.5756457564575646,0.5777006275573233,0.8955957012149451,312,230,230,5411
49,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.6370554883903513,0.6037344398340249,0.5369003690036901,0.568359375,0.5825703671376923,0.9025240872866095,291,191,251,5450
49,base_plus_k2_numeric_plus_pca3,36,0.7063656788759275,0.6297968397291196,0.514760147601476,0.566497461928934,0.5709048441454234,0.9010385219966364,279,164,263,5477
50,base_only,31,0.6344522153492422,0.596745027124774,0.6088560885608856,0.6027397260273972,0.6252381729257517,0.9111699333621595,330,223,212,5418
50,base_plus_kmeans2_numeric,33,0.5254048891654001,0.5440729483282675,0.6605166051660517,0.5966666666666667,0.6213522411483422,0.9094076643655995,358,300,184,5341
50,base_plus_kmeans2_onehot,34,0.5254048891654001,0.5440729483282675,0.6605166051660517,0.5966666666666667,0.6213522411483422,0.9094076643655995,358,300,184,5341
50,base_plus_kmeans5_numeric_current_style,33,0.5301039929564861,0.5446428571428571,0.6752767527675276,0.6029654036243822,0.6157287981401012,0.9086720773252761,366,306,176,5335
50,base_plus_kmeans5_onehot,37,0.5183043024258293,0.5409836065573771,0.6697416974169742,0.5985160758450123,0.6226389489646426,0.9096657249146505,363,308,179,5333
50,base_plus_pca2,33,0.6358568110504282,0.5944954128440367,0.5977859778597786,0.5961361545538179,0.6275210999266378,0.9100971341214918,324,221,218,5420
50,base_plus_pca3_current_count,34,0.6447225929596706,0.6041275797373359,0.5940959409594095,0.5990697674418605,0.6238052816075537,0.9113867827208674,322,211,220,5430
50,base_plus_pca5,36,0.5611508456537253,0.5721476510067114,0.6291512915129152,0.5992970123022847,0.617343308627028,0.9077899616081784,341,255,201,5386
50,base_plus_pca10,41,0.5379949634607943,0.5655058043117744,0.6291512915129152,0.5956331877729257,0.6203929362254381,0.910362717348145,341,262,201,5379
50,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.6077190000562235,0.5815602836879432,0.6051660516605166,0.593128390596745,0.6165944971895672,0.9079649456306653,328,236,214,5405
50,base_plus_k2_numeric_plus_pca3,36,0.5746776194492539,0.5637254901960784,0.6365313653136532,0.5979202772963604,0.6166580890676222,0.9055799297578155,345,267,197,5374
51,base_only,31,0.6232434559280567,0.596039603960396,0.5553505535055351,0.5749761222540593,0.6009304028236313,0.9038487326904823,301,204,241,5437
51,base_plus_kmeans2_numeric,33,0.5948485742702565,0.5811320754716981,0.5682656826568265,0.5746268656716418,0.6107171275139458,0.9086197456549995,308,222,234,5419
51,base_plus_kmeans2_onehot,34,0.5948485742702565,0.5811320754716981,0.5682656826568265,0.5746268656716418,0.6107171275139458,0.9086197456549995,308,222,234,5419
51,base_plus_kmeans5_numeric_current_style,33,0.5438650799012558,0.5661375661375662,0.5922509225092251,0.5788999098286745,0.6037292823104831,0.9055403539321691,321,246,221,5395
51,base_plus_kmeans5_onehot,37,0.4895274562476159,0.526813880126183,0.6162361623616236,0.5680272108843537,0.6035732781376777,0.9021201522066631,334,300,208,5341
51,base_plus_pca2,33,0.43143720012290987,0.5175438596491229,0.6531365313653137,0.5774877650897227,0.6067152792395739,0.9048636400209064,354,330,188,5311
51,base_plus_pca3_current_count,34,0.5340655193489295,0.5538461538461539,0.5977859778597786,0.5749778172138421,0.6098733687242935,0.9062239363751552,324,261,218,5380
51,base_plus_pca5,36,0.4908009857264345,0.5483870967741935,0.6273062730627307,0.5851979345955249,0.5975684179835589,0.9040672174138866,340,280,202,5361
51,base_plus_pca10,41,0.4386316064504528,0.5345911949685535,0.6273062730627307,0.5772495755517827,0.5979079114488659,0.9042467804575228,340,296,202,5345
51,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.4535704472008103,0.5303030303030303,0.6457564575645757,0.5823627287853578,0.611704900850194,0.9073660750789391,350,310,192,5331
51,base_plus_k2_numeric_plus_pca3,36,0.6227511064880988,0.6,0.5645756457564576,0.5817490494296578,0.605172581793147,0.9055308688169313,306,204,236,5437
